;section;speaker;role;text
10;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Yeah, go ahead, go ahead.
11;Q&A;Jeoffrey Lambujon - Tudor, Pickering, Holt & Company;Analyst;I think you go ahead.
12;Q&A;Henrik Fisker - Chief Executive Officer;Firm;No I was just going to say, you know, range, you asked about the range. I mean, we kind of want to wait and surprise people at the LA Auto Show. But I think the real key again here is, some people you know, may not really need to carry a giant battery around and therefore we have that LFP solution which makes us extremely price competitive. But if you do want a range then we do have a really cool long range. And like I said, it will be the world's longest range in our segment and our pricing. So, of course, please don't compare us to, you know, vehicles that cost in the $100,000, $150,000. But if you compare us to vehicles in our price class and the type of vehicle, our vehicle is, we will have the longest range in the world in the Ocean in the two versions that sits above the baseboard version.
13;Q&A;Jeoffrey Lambujon - Tudor, Pickering, Holt & Company;Analyst;Understood, appreciate it and I understand that we'll have to wait a couple of weeks to really get the detail. My second one's just on marketing. There's clearly a lot going on as you all highlighted just preparing for the LA Auto Show and the marketing push to kind of accompany the unveil. With the Experience Center lead secured and the growth in the customer experience teams. I was wondering if you could just talk a bit more about the game plan for the marketing part of the strategy as you think about growth and reservations over time.
14;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Yeah, so we are creating content right now, and we'll continue creating content over the next couple of months. And what I mean by content is, you've got to make real exciting videos that can be used as online, digital you know ads and engagement with different potential customers. We have hired some unique agencies that are specialized specifically in digital and then with AI et cetera, to how we reach the right customers, but in the end of the year it comes and you know, I know a lot of people are saying, why don't you start blasting a whole bunch of stuff out now. I think it would be a waste of our money. We're still 12 months away from delivering, we're sold out you know well into 2023. But my expectation of our marketing teams are that we will have at least 50,000 reservations by before we start the production next year. And I think we have a really, really strong marketing plan that is comprised of online content, other means of marketing and PR we are recruiting unique PR moments. We obviously are in Hollywood, and have already planning and have already secured as being in a couple of different films and TV series. And of course, we have also plan a host of events throughout US and Europe. And then we are going to open experienced vendors, we have a whole new strategy that nobody's used before, when it comes to displaying our vehicles and how we deliver our vehicles is all about creating the ultimate experience I believe. I think the automotive industry is still far behind in experience, you look at how quick you can order a pair of shoes on Amazon. And then, you know how - what happens when you order a car and how long it takes to get and how many papers you have to sign and considering it's maybe $40,000 or $50,000, how's that experience. We want to create and be the number one and experienced in the world. And that goes from everything to interact with the brand to how you purchased the vehicle of flexibilities to vehicle, how your ownership goes throughout the time of your vehicle, what we're going to do over the update, et cetera. So all of that, of course, we're going to elaborate on over the next 12 months to show how we think we're taking the lead in many of these areas.
15;Q&A;Dan Galves - Vice President, Investor Relations;Firm;And Jeoff, I just have one more point to add. I mean, as we had put in the press release, we've got over 70,000 registered app users. And you know, we think it's pretty unusual for people to reserve a product more than a year in advance when they don't know what the content and features is. So we're really happy with our reservation today. But we think, you know, just talking about the details of the content, the pricing of the entire Ocean lineup, the range, all of these details about the car triggers you know quite a few of those registered app users to reserve. And it also helps with fleet sales, because most fleets are certainly not going to get into you know, detailed discussions about a product that they don't know exactly what the content is. And that's all going to come out in two weeks. Can we go to the next question, please, Erin?
16;Q&A;Jeoffrey Lambujon - Tudor, Pickering, Holt & Company;Analyst;Thank you very much.
17;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks, Jeoff.
18;Q&A;Operator;Operator;Absolutely. Thank you, Mr. Lambujon. The next question comes from Joseph Spak with RBC. Please proceed.
19;Q&A;Joseph Spak - RBC;Analyst;Thanks very much, everyone. Going back to the battery announcement which seems important here. Two questions. One, the decision to go to LFP to offer you know a more compelling you know low on vehicle is that at all change your potential demand outlook for that variant? And then secondarily, if you could just sort of talk about your scope to grow your allocation of gigawatts of CATL overtime if needed?
20;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Yeah, so it was always our plan for well always since quite a while it was our strategy to you know use our vehicle or put our vehicle in a much higher potential buyer group than you normally see. So if you look at all the electric vehicles out there today that are SUV or crossovers so let's forget the hatchbacks, they're all very expensive and they're all sort of staying pretty much within a narrow spectrum of pricing. And I think the unique thing about the Ocean is that we start at $37,499 for [technical difficulty]. And that is an amazing price. You know, the average price of a car today I think has gone over $40,000 now. So we are really among what would - you would really consider affordable and reachable for everyone. Secondly, with our flexible lease, when we start that, again, we're going to attract a whole new buyer group that very few other car companies have the ability to reach because of the way we structure our flexibilities when give the car back anytime. So absolutely. I think that we have a real possibility, once we get production going to potentially scale up on the side of LFP. Then finally, your question about CATL and what happens if we, for example, see that we can sell a lot more cars than we expect. As Geeta mentioned, maybe that slipped through the cracks, but we actually have in our agreement, that possibility to increase our volume significantly was CATL, really, we don't have any limit on it quite frankly. And we just have 12 months planning heads up. And if I see middle of the next year, that we have terrific sales on the reservation numbers, we can call CATL and saying, “Look, we need x amount more whether it's double or triple or whatever it is from you know 12 months later”. So now it's just a matter how many vehicles can we sell? Well, I'm really, really excited about this specific battery deal, because it allows us that and I think very few other startups probably have that ability. Also, remember, most of the startups are buying cells and make no packs. In this case, you know, CATL is making the packs, and we get a full finished solution to us and that gives from my point of view, also some other advantages down the line.
21;Q&A;Joseph Spak - RBC;Analyst;Great, thanks. And maybe just a second question on your upcoming LA Auto Show. And you're going to show these vehicles. I mean, how soon after that the open configurator. So you start to get a sense of that next so you can you know properly let your suppliers know, you know, as how long does that process sort of need to be? And then when should we expect that configurator to open?
22;Q&A;Henrik Fisker - Chief Executive Officer;Firm;So we're already working on that, that's going to be open the day off the 17th. So people go in and configure their vehicles. And then we're going to expand on the configurator later and introduce more features on it. But you will be able to go in and configure your car, we're going to have all the different option packages shown, the different features and has quite a lot of them are segment leading in my opinion. And that's all going to be available already on the 17th of November.
23;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks a lot, Joe.
24;Q&A;Operator;Operator;Thank you, Mr. Spack. The next question comes from the line of Evan Silverberg with Morgan Stanley. Please proceed.
25;Q&A;Evan Silverberg - Morgan Stanley;Analyst;Hi, all. Evan Silverberg here for Adam Jonas. A question on the batteries. For the 5 gigawatts, the initial 5 gigawatts, where will they be sourced from, country? And you know, you guys have made the emphasis of ESG with a view of making the most sustainable EVs in the world, obviously battery is pretty dirty business as we sit here today. So what steps have you made with the CATL partnership that helps you secure you know sustainably sourced battery supply?
26;Q&A;Geeta Gupta-Fisker - Chief Financial Officer and Chief Operating Officer;Firm;Yeah, great question, Evan. So, first of all, obviously CATL is in China. So the batteries are coming clearly from China. They have a pretty elaborate sourcing mechanism when it comes to different raw materials. So we do have a responsible supplier policy that we announced earlier this year that we put in place that we share with all our suppliers. With respect to CATL, first they have a copy of our policy and now as we get into industrialization, we look at the source of some of the raw material, but also very importantly, CATL themselves have put together a very extensive recycling program and we will be working very closely with them on looking at end-of-life use and looking at recycling. What can we do to make, of course, the carbon print lower. Now, in addition to that, you know, I don't want to sit here and talk about CATL's plans. But of course, today they have 65, 66 odd gigawatt hour capacity. And as everybody knows, it is now the biggest battery company in the world. And they have plans to go global, which means that they will be in countries outside China making cells and we are knee-deep in discussions with them on their global plans as well, since we are a global company, and will produce not only the Ocean, but of course, the PEAR program and other variants on the Ocean platform.
27;Q&A;Henrik Fisker - Chief Executive Officer;Firm;I also just want to add one thing on the sustainability. On our flexible lease program, we are working on actually keeping the vehicle all the way to end-of-life and recycling the entire vehicle. So we lease it out for 12 years, which I would consider pretty much end-of-life. We are recycling the vehicle after that. So you are looking at a complete you know closed circuit really and not to mention, of course, the fact that we will get a lot more profitability out of each battery you know being able to lease this vehicle over 12 years, we're talking about more than 250% margin on these vehicles long-term.
28;Q&A;Evan Silverberg - Morgan Stanley;Analyst;That's some helpful color, thank you. And one more if I can squeeze it in. You know, obviously you guys are outside party to this transaction. But you know, it was announced, was it a month or two ago about the Foxconn's plan to try to buy the Lordstown, Ohio plant from Lordstown Motors. Has there been any discussions between you and Foxconn about you know the potential for making PEARs at that facility? Should that deal go through or any color on you know potential production facilities for the PEAR? Thanks.
29;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Well, I think yeah, I think we already mentioned that that's our intent to produce the PEAR in that facility, you know, it's a giant facility which can probably get up to close to half a million vehicles a year. So again, that gives huge potential for us in the growth of the PEAR that initially we're looking at a greenfield that would have started with 150,000 vehicles a year. Obviously, in that facility, if it turns out, we're a lot more successful than we thought we could be, then, you know, we could quickly move up to the 250,000 vehicles that ultimately is our own goal short-term, long-term, I think we can sell much more than that. But it does allow us to move a lot faster and we're constantly in contact with Foxconn as we jointly work on the PEAR program. And of course, we are discussing not only the places of manufacturing, because that I think is sort of determined, although as you mentioned, Foxconn have to do their own final deal. But if that deal comes through, that would be the place, but we're also looking at intelligent manufacturing in terms of being able to take cost out of the vehicle. And as I mentioned earlier, we have an extensive program within Fisker of sharing parts for the Ocean, which means, we don't have to go out and procure these parts and sort of design them from scratch. Well we can go out to as our current suppliers and saying, “Actually, we need on that part instead of you know, whatever, [indiscernible] $400,000 a year. And that means that you're able to lower the pricing for both the PEAR and the Ocean. So all these discussions are currently going on.
30;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks a lot, Evan. Appreciate it. Erin, can we go to the next question?
31;Q&A;Operator;Operator;Absolutely. Thank you, Mr. Silverberg. The next question comes from John Murphy with Bank of America. Please proceed.
32;Q&A;John Murphy - Bank of America;Analyst;Good afternoon, guys. [Technical difficulty] simple question. What is the 5 gigawatt hour capacity imply as far as your pack or vehicle [technical difficulty]. Is the chemistry here just curious what you think that applies? Or what does it imply based on your mix?
33;Q&A;Henrik Fisker - Chief Executive Officer;Firm;That we know exactly what it implies, but we're not going to - you know we're not going to elaborate on that, again, we have a lot of I think for the customer, it's super important to know the range, I don't think they need to know the configuration exactly well battery pack or exactly how we were able to pack it. That's something all our competitors would love to know. But that's not something that we're here to talk about at this point, it will probably come out close to launch because that will take a lot longer than to copy it.
34;Q&A;John Murphy - Bank of America;Analyst;Okay. And then just the second question, the ESG, the lifecycle analysis. Just you know why you think it's necessary to do that? And what you think the conclusions will lead to? I mean, could this you know put you in a position to do more green bonds or more to ESG you know cap raises and I was just curious what the motivation is there what you think the conclusions will be? And if that opens the door to more funding?
35;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Well, first the motivation is we want to be the world's most sustainable car company. We have clearly set that and we're trying to do everything we can to make that a reality and that takes a lot of work in a lot of different areas, as I mentioned before, we are going in with the Ocean in a CO2 neutral factory next year, that's part of it. And then there's all the materials we use and then there is recyclability. So you know, it's who we are as a company as a brand. And, Dan maybe you can elaborate a bit on it.
36;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Yeah. I think the point of the lifecycle analysis is, it's not enough to just say you have a climate neutral car or a kind of a low emission car. You know you really need to prove it, you need to measure it and you need to measure all points of the lifecycle from upstream sourcing all the way to end-of-life like Henrik said. And you know, there's actually an ISO standard for doing a lifecycle analysis, it's really takes a lot of hard work. But where we have the plan in place and we're ongoing on that plan. And really, the intent is to be able to measure and prove you know, how sustainable our vehicles are going to be.
37;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Maybe one thing I can just add is that, the reason I think we have the possibility to be number one in the world on this point is, because you know, we are building everything from scratch. We don't have a legacy that we have to tear down and get rid of. You know we are going all out and we have gone over this from when we started the company, it's been a focus always is not a fab we just kind of came up with a couple of months ago. This is something that has always been one of our main brand pillars and we'll continue to become the one on many brand pillars.
38;Q&A;John Murphy - Bank of America;Analyst;Okay, thank you.
39;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks, John. Erin, I'm just going to break in for a second you know as we have done, you know, every earnings call so far, we've collected retail investor questions from the say, technology platform. I'm just going to go through a few of those. And then if we have time, we'll get back to the analyst queue. So the first one there were several questions about kind of competition and differentiation. So the first question is what differentiates Fisker from the other EV makers? What is unique about Fisker's proprietary systems?
40;Q&A;Henrik Fisker - Chief Executive Officer;Firm;So I think, you know, I think we have a unique design that's obvious. And you will see that when we get in the vehicle as well. The user experience will be phenomenal. It's a whole new take on what a user experience should feel and look like once you get in the vehicle. It's headed up by, you know, our Head of User Experience here from Microsoft and his team that really, I think none of them comes from the automotive industry, almost. Most people come from gaming, other areas of the digital industry. So we've taken a whole new take on that and I think that's going to be really, really different. The sustainability aspect, we already talked about it, I think is a huge differentiator. I think a lot of young people today want to identify themselves with a brand withstands for something meaningful. And we have already seen that in the over 18,600 orders that the order reservations we have. The powertrain performance in our class is fantastic on all levels. That includes, as I said before, class-leading and range. But not only that, we have a very unique system in our price range that makes you pretty much feel like a Formula One driver or makes you drive extremely safe in icy and wet conditions. And it's something we will elaborate on when we launch the vehicle in two weeks is phenomenal. I've driven it. I've gone out on a test track and being able to drive our vehicle about 10 miles faster through a corner than any other vehicle without this device. So that's something that we're going to be talking about. And then I think the value for money, you know, everybody's going out making luxury EVs and quite frankly, I think we're going to have a flooded market with luxury EVs and even the traditional car companies are making luxury EVs. We are tackling the market, not just with the little tin can hatchback, you know, on the 40,000, we are tackling the market with the most [technical difficulty] of vehicle in the world, which is an SUV. And I think you're going to be impressed and everybody's going to be impressed when they see the value for money we're able to give in this vehicle and part of it is that, we were been able to work with our suppliers very closely on getting the right pricing because they believe in our volume, because they believe in the design and the desirability of the vehicle. Don't forget, the suppliers have access to all the secret details behind the curtain of how our vehicles can perform. They have access to how it truly works, how it truly is going to be experienced and they believe in us and that's why we have a lot of amazing long-term partners like CATL stepping in to be part of this adventure.
41;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Thanks, Hendrik. Now just about the solar sunroof how much power will it generate or how useful is it?
42;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Burkhard?
43;Q&A;Burkhard Huhnke - Chief Technology Officer;Firm;Yeah, thanks for the question. So at this point, we believe that undergirds not perfect, but good conditions, the technology can generate around 1,000 miles per year of completely climate neutral free driving. There's a lot of IP in this technology, we developed our unique converter to enable direct charging of the high voltage battery, the solar roof. So to understand the question directly, we believe the option of solar roof will be very useful and more importantly, effective solar cell technology get more efficient and lower end cost over time, which is why we are very excited to believe we are on the cutting edge here.
44;Q&A;Henrik Fisker - Chief Executive Officer;Firm;Maybe one thing I just want to what Burkhard just said and kind of showed in a different way. We also internally calculated out what it would mean for the average driver for every time, you would completely charge the vehicle. So, if you think about some sort of what is the total range of the vehicle, I would say, the way to look at this as well is that they could increase the total range on the vehicle about 25 miles if you calculate how many times to charge the vehicle over a year. So there's many ways to look at this and obviously, yes, you do have to live in an area where there's a fair amount of sun, but most of the vehicles right now are actually reserved in those areas.
45;Q&A;Dan Galves - Vice President, Investor Relations;Firm;Got it. Thanks, Henrik. We also had a bunch of questions about sales and marketing, as you would imagine a couple of weeks before the Auto Show. The simplest one was, what can we expect that Fisker Ocean launches in '22. You know, we've covered a lot of this, anything to add?
